Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
regression,,,,10-02-2025 14:58:24,10-02-2025 14:58:25,0.590s,ERROR
,,,,,,,
Test Cases/000. Back button,,,,10-02-2025 14:58:24,10-02-2025 14:58:25,0.304s,ERROR
