Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
regression,,,,10-02-2025 14:58:39,10-02-2025 14:58:40,0.597s,ERROR
,,,,,,,
Test Cases/000. Back button,,,,10-02-2025 14:58:40,10-02-2025 14:58:40,0.320s,ERROR
